id,name,location,neighborhoods,district,status,notes,lat,lng
imperial-al-fresco-padel-x,Imperial Al Fresco & Padel X,South Dixie,Grandview Heights; Flamingo Park,5,In Review,HPB approval for portions; monitor Planning Board/Commission.,26.7035,-80.0585
norton-museum-phase-ii,Norton Museum Phase II,South Dixie,Flamingo Park; Sunshine Park,5,In Review,Planning Board / Commission monitoring.,26.6928,-80.0567
greene-school-expansion,Greene School Expansion,South Dixie,Sunshine Park; Flamingo Park,5,Under Construction,Expansion underway.,26.6905,-80.0602
carefree-apartments,Carefree Apartments,El Cid,El Cid; Flamingo Park,5,In Review,Neighborhood objections filed.,26.6955,-80.0558
vanderbilt-graduate-campus,Vanderbilt Graduate Campus,Downtown,Citywide,3,Planning,Major institutional project.,26.7128,-80.0536
pba-expansion,PBA Expansion,Okeechobee / S Dixie,Grandview Heights; Flamingo Park,3,In Review,Garage and campus expansion.,26.7062,-80.0608
the-sound-apartments,The Sound Apartments,South Dixie,SoSo,5,Under Construction,Move-ins anticipated.,26.6802,-80.0571
mast-capital-tower,Mast Capital Tower,635 S Dixie,Downtown; Grandview Heights,3/5 boundary,In Review,Monitor hearings.,26.7085,-80.0568
the-press-redevelopment,The Press Redevelopment,2751 S Dixie,El Cid,5,Planning,Future phases expected.,26.6868,-80.0589
district-at-northwood,District at Northwood,Northwood,Old Northwood,1,Under Construction,Major mixed-use project.,26.7402,-80.0581
the-spruce,The Spruce,Northwood,Old Northwood,1,Under Construction,Active.,26.7421,-80.0598
deco-northwood,Deco Northwood,Broadway,Old Northwood,1,Proposed,Parking concerns.,26.7458,-80.0606
nora,NORA,North End,Northwood,1,Under Construction,Multi-phase.,26.7365,-80.0532
nomar,NOMAR,North End,Northwood,1,Under Construction,Large redevelopment.,26.7388,-80.0555
rybovich-village,Rybovich Village,North Flagler,Northwood Shores,1,Approved,Phase I approved.,26.7449,-80.0489
olara,Olara,North Flagler,Northwood Shores,1,Under Construction,Active.,26.7312,-80.0496
shorecrest,Shorecrest,North Flagler,Northwood Shores,1,Proposed,Monitor hearings.,26.7475,-80.0478
currie-park-redevelopment,Currie Park Redevelopment,North Flagler,Northwood,1,Under Construction,City / CRA.,26.7298,-80.0502
alba-palm-beach,Alba Palm Beach,North Flagler,Northwood Shores,1,Under Construction,Residential.,26.7335,-80.0488
mr-c-residences,Mr. C Residences,Lakeview Ave,Downtown,3,Under Construction,Mixed use.,26.7058,-80.0524
ritz-carlton-residences,Ritz-Carlton Residences,North Flagler,Northwood Shores,1,Under Construction,Residential.,26.7281,-80.0498
south-flagler-house,South Flagler House,South Flagler,El Cid; Waterfront,5,Under Construction,Residential.,26.6912,-80.0505
edgeworth,Edgeworth,South Flagler,Waterfront,5,Approved,Not started.,26.6885,-80.0512
maison-dor,Maison D'Or,South Flagler,South End,5,Approved,Not started.,26.6722,-80.0522
mandarin-oriental-residences,Mandarin Oriental Residences,North Flagler,North End,1,Approved,Not started.,26.7521,-80.0471
